repo_id,name,full_name,owner,url,stars,created_at,last_modified,language,topics
132750724,build-your-own-x,codecrafters-io/build-your-own-x,codecrafters-io,https://github.com/codecrafters-io/build-your-own-x,500789,2018-05-09T12:03:18Z,2026-02-21T09:34:54Z,Markdown,"awesome-list, free, programming, tutorial-code, tutorial-exercises, tutorials"
21737465,awesome,sindresorhus/awesome,sindresorhus,https://github.com/sindresorhus/awesome,465511,2014-07-11T13:42:37Z,2026-05-05T14:47:44Z,,"awesome, awesome-list, lists, resources, unicorns"
28457823,freeCodeCamp,freeCodeCamp/freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,444548,2014-12-24T17:49:19Z,2026-05-12T08:23:41Z,TypeScript,"careers, certification, community, curriculum, d3, education, freecodecamp, javascript, learn-to-code, math, nodejs, nonprofits, programming, react, teachers"
54346799,public-apis,public-apis/public-apis,public-apis,https://github.com/public-apis/public-apis,434299,2016-03-20T23:49:42Z,2026-05-12T04:34:58Z,Python,"api, apis, dataset, development, free, list, lists, open-source, public, public-api, public-apis, resources, software"
13491895,free-programming-books,EbookFoundation/free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,388123,2013-10-11T06:50:37Z,2026-05-11T00:08:51Z,Python,"books, education, hacktoberfest, list, resource"
1103012935,openclaw,openclaw/openclaw,openclaw,https://github.com/openclaw/openclaw,371102,2025-11-24T10:16:47Z,2026-05-12T11:45:32Z,TypeScript,"ai, assistant, crustacean, molty, openclaw, own-your-data, personal"
85077558,developer-roadmap,nilbuild/developer-roadmap,nilbuild,https://github.com/nilbuild/developer-roadmap,354637,2017-03-15T13:45:52Z,2026-05-11T15:20:20Z,TypeScript,"angular-roadmap, backend-roadmap, blockchain-roadmap, computer-science, dba-roadmap, developer-roadmap, devops-roadmap, frontend-roadmap, go-roadmap, java-roadmap, javascript-roadmap, nodejs-roadmap, python-roadmap, qa-roadmap, react-roadmap, roadmap, software-architect-roadmap, vue-roadmap"
83222441,system-design-primer,donnemartin/system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer,348060,2017-02-26T16:15:28Z,2026-03-20T01:52:19Z,Python,"design, design-patterns, design-system, development, interview, interview-practice, interview-questions, programming, python, system, web, web-application, webapp"
60493101,coding-interview-university,jwasham/coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,346618,2016-06-06T02:34:12Z,2025-08-28T14:42:47Z,,"algorithm, algorithms, coding-interview, coding-interviews, computer-science, data-structures, interview, interview-prep, interview-preparation, programming-interviews, software-engineering, study-plan"
21289110,awesome-python,vinta/awesome-python,vinta,https://github.com/vinta/awesome-python,297225,2014-06-27T21:00:06Z,2026-05-12T02:36:10Z,Python,"awesome, collections, python, python-frameworks, python-libraries, python-tools"
36633370,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,291664,2015-06-01T02:33:17Z,2026-05-11T09:42:36Z,,"awesome, awesome-list, cloud, free-software, hosting, privacy, self-hosted, selfhosted"
177736533,996.ICU,996icu/996.ICU,996icu,https://github.com/996icu/996.ICU,276167,2019-03-26T07:31:14Z,2025-08-22T06:01:29Z,,
88011908,project-based-learning,practical-tutorials/project-based-learning,practical-tutorials,https://github.com/practical-tutorials/project-based-learning,265470,2017-04-12T05:07:46Z,2024-08-15T05:33:54Z,,"beginner-project, cpp, golang, javascript, project, python, tutorial, webdevelopment"
10270250,react,facebook/react,facebook,https://github.com/facebook/react,244971,2013-05-24T16:15:54Z,2026-05-12T04:35:31Z,JavaScript,"declarative, frontend, javascript, library, react, ui"
2325298,linux,torvalds/linux,torvalds,https://github.com/torvalds/linux,232898,2011-09-04T22:48:12Z,2026-05-11T22:42:57Z,C,
63476337,Python,TheAlgorithms/Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,220965,2016-07-16T09:44:01Z,2026-05-04T18:10:39Z,Python,"algorithm, algorithm-competitions, algorithms-implemented, algos, community-driven, education, hacktoberfest, interview, learn, practice, python, searches, sorting-algorithms, sorts"
