user_id,login,contributor_name,joining_date
1736595,danistefanovic,danistefanovic,
3893573,rohitpaulk,rohitpaulk,
3149580,sarupbanskota,sarupbanskota,
61480354,fake-rookie,fake-rookie,
16154204,bauripalash,bauripalash,
118785298,louisdainguyen,louisdainguyen,
98305566,VENCYR,VENCYR,
8174740,mstuttgart,mstuttgart,
77228428,imlakshay08,imlakshay08,
38928059,joaorlima,joaorlima,
83684810,bepisdev,bepisdev,
478921,jserv,jserv,
31489642,danielbarnes175,danielbarnes175,
5618407,rasbt,rasbt,
6998954,M0nica,M0nica,
64129,xmonader,xmonader,
1148268,lotharschulz,lotharschulz,
8026710,kopylovvlad,kopylovvlad,
20269419,dineshgowda24,dineshgowda24,
3537278,vasanthk,vasanthk,
4493087,lethalbrains,lethalbrains,
61485263,CodeCrateDev,CodeCrateDev,
6743796,cliffordfajardo,cliffordfajardo,
315834,cristiano-belloni,cristiano-belloni,
20186786,lakuapik,lakuapik,
64193423,Velnbur,Velnbur,
43784056,Oatelaus,Oatelaus,
12420351,0xMH,0xMH,
2018336,toolboc,toolboc,
73585787,xunterr,xunterr,
21017537,SeungUkLee,SeungUkLee,
26724997,parmort,parmort,
3635348,sandoche,sandoche,
20496196,hasanisaeed,hasanisaeed,
45873654,RyanB28,RyanB28,
13165540,RusinovAnton,RusinovAnton,
36558130,RohithS98,RohithS98,
12913401,caaatisgood,caaatisgood,
11733036,ranyitz,ranyitz,
5514159,buildthingsuseful,buildthingsuseful,
67539676,guuzaa,guuzaa,
43283622,Otman404,Otman404,
3000285,trekhleb,trekhleb,
20309675,ncharlton02,ncharlton02,
37460517,MichaelHinrichs,MichaelHinrichs,
138299204,NikoPit,NikoPit,
321194,nikital,nikital,
83733486,NicolasMontone,NicolasMontone,
30430451,musafarouk,musafarouk,
15180702,mzahran001,mzahran001,
22938158,m4salah,m4salah,
56265744,maysara-elshewehy,maysara-elshewehy,
38759997,friendlymatthew,friendlymatthew,
99094296,sj902,sj902,
63630786,jumang4423,jumang4423,
153388,ojab,ojab,
3834345,lfaoro,lfaoro,
9620622,kaysiz,kaysiz,
156260369,korrectional,korrectional,
15965696,kezhenxu94,kezhenxu94,
48746437,karandeeppotato,karandeeppotato,
4223302,juliardi,juliardi,
44021072,erwanvivien,erwanvivien,
5310476,char16t,char16t,
124492823,byo-books,byo-books,
61067907,ash-john1,ash-john1,
1315101,yangshun,yangshun,
1783303,yairhaimo,yairhaimo,
109985186,squibbium-235,squibbium-235,
18318332,Moikapy,Moikapy,
6705900,paralysedforce,paralysedforce,
34755896,viniciusbds,viniciusbds,
10209814,vzhou842,vzhou842,
24873093,dharnarh,dharnarh,
10018065,UmanShahzad,UmanShahzad,
1265726,engineerhead,engineerhead,
75830554,sujaldev,sujaldev,
42946112,sn99,sn99,
305282,mattmakai,mattmakai,
5999271,deniskyashif,deniskyashif,
131972303,darshilshah7070,darshilshah7070,
90731476,DanyRenaudier,DanyRenaudier,
27595790,matheus-consoli,matheus-consoli,
480759,ConanChou,ConanChou,
2145092,cmfcmf,cmfcmf,
13485609,Chaitya62,Chaitya62,
18620025,MartensCedric,MartensCedric,
15315888,Aegwenia,Aegwenia,
8521043,bewuethr,bewuethr,
5004786,bsinky,bsinky,
26779597,OAyomide,OAyomide,
21974209,sinAshish,sinAshish,
47742611,GalindoSVQ,GalindoSVQ,
18689888,AmrMKayid,AmrMKayid,
23161228,AlexFloresVeliz,AlexFloresVeliz,
755257,aafa,aafa,
90549089,xames3,xames3,
12576614,aasisodiya,aasisodiya,
8684703,ajaypremshankar,ajaypremshankar,
8272048,ahmedash95,ahmedash95,
14985050,R055A,R055A,
18290528,aastik7,aastik7,
53461381,9bany,9bany,
26602940,0xflotus,0xflotus,
40502247,Marcosultymos,Marcosultymos,
46008593,tolgacangoz,tolgacangoz,
35174794,Lucas-101,Lucas-101,
11792595,peiyuanix,peiyuanix,
511342,kevmo314,kevmo314,
13379595,kasvith,kasvith,
519731,jkrup,jkrup,
72456290,JoseCutileiro,JoseCutileiro,
219709013,jiminjungg,jiminjungg,
18020,jeremyBanks,jeremyBanks,
20116709,jefQuery,jefQuery,
321040,ishuah,ishuah,
2682729,indradhanush,indradhanush,
20232139,htcrefactor,htcrefactor,
119161197,3xcpy,3xcpy,
95338528,almerion,almerion,
12385501,gpressutto5,gpressutto5,
75162131,carb1d3,carb1d3,
5685776,Frezzle,Frezzle,
161972,gosukiwi,gosukiwi,
680245,biomadeira,biomadeira,
126132,fakturk,fakturk,
64015416,erfanansari,erfanansari,
551543,eimantas,eimantas,
20397491,EduardoJM,EduardoJM,
13561988,camperbot,camperbot,
1884376,raisedadead,raisedadead,
15801806,ojeytonwilliams,ojeytonwilliams,
544954,sahat,sahat,
25180681,renovate-bot,renovate-bot,
1911390,terakilobyte,terakilobyte,
18572518,Bouncey,Bouncey,
20648924,moT01,moT01,
553494,SaintPeter,SaintPeter,
1381313,arialaurel,arialaurel,
10749142,benmcmahon100,benmcmahon100,
2754821,erictleung,erictleung,
4591597,ahmaxed,ahmaxed,
25715018,huyenltnguyen,huyenltnguyen,
46919888,Sembauke,Sembauke,
985197,QuincyLarson,QuincyLarson,
51722130,ShaunSHamilton,ShaunSHamilton,
26656284,majestic-owl448,majestic-owl448,
6775919,BerkeleyTrue,BerkeleyTrue,
5313213,RandellDawson,RandellDawson,
13225220,bugron,bugron,
7917512,dhcodes,dhcodes,
2051070,scissorsneedfoodtoo,scissorsneedfoodtoo,
67210629,jdwilkin4,jdwilkin4,
153783117,Supravisor,Supravisor,
1029200,abhisekp,abhisekp,
9373245,a2937,a2937,
10867286,ValeraS,ValeraS,
60067306,gikf,gikf,
6125097,Greenheart,Greenheart,
11736897,clarencepenz,clarencepenz,
105294544,Dario-DC,Dario-DC,
88248797,Sboonny,Sboonny,
28780271,lasjorg,lasjorg,
11348778,Manish-Giri,Manish-Giri,
34807532,thecodingaviator,thecodingaviator,
33151350,zairahira,zairahira,
6422507,pdtrang,pdtrang,
70780434,Giftea,Giftea,
109740924,anastasiiauk,anastasiiauk,
36357875,Nirajn2311,Nirajn2311,
25644062,sidemt,sidemt,
58576743,DanielRosa74,DanielRosa74,
18563015,no-stack-dub-sack,no-stack-dub-sack,
14790466,greenkeeperio-bot,greenkeeperio-bot,
701221,vtamara,vtamara,
7262039,systimotic,systimotic,
19358186,miyaliu666,miyaliu666,
5926192,bbsmooth,bbsmooth,
110320697,Jeevankumar-s,Jeevankumar-s,
1513130,beaucarnes,beaucarnes,
8263430,AryanJ-NYC,AryanJ-NYC,
15965601,BKinahan,BKinahan,
22465386,greggubarev,greggubarev,
65571316,Ksound22,Ksound22,
30289773,jonathan-grah,jonathan-grah,
12146816,gagan-bhullar-tech,gagan-bhullar-tech,
12584257,justinian336,justinian336,
171328511,AdityaSingh-18,AdityaSingh-18,
85124911,estefaniacn,estefaniacn,
42481527,darthmeme,darthmeme,
90112119,nieldakarla,nieldakarla,
18324040,alvinkl,alvinkl,
42106787,iamrajiv,iamrajiv,
35541470,hbar1st,hbar1st,
25011573,jeremylt,jeremylt,
29049143,CleoAguiar,CleoAguiar,
44451585,mmatsumoto1026,mmatsumoto1026,
10660283,natac13,natac13,
122341199,JungLee-Dev,JungLee-Dev,
185078908,c0d1ng-ma5ter,c0d1ng-ma5ter,
12993334,alistermada,alistermada,
